Time, 14.36436, Position, (19.42, 0.01, -0.14), Velocity, 5341.666, Acceleration, -226216.5, AngleX, -0.4479603, AngleY, 2.290403, AngleZ, 90.01792
Time, 14.46582, Position, (19.83, 0.01, -0.13), Velocity, 4793.408, Acceleration, -217445.7, AngleX, -0.4596163, AngleY, 2.290386, AngleZ, 90.01839
Time, 14.56704, Position, (20.23, 0.01, -0.11), Velocity, 5619.942, Acceleration, 172259.2, AngleX, -0.4786234, AngleY, 2.290365, AngleZ, 90.01914
Time, 14.66891, Position, (20.64, 0.01, -0.09), Velocity, 5353.919, Acceleration, -63498.89, AngleX, -0.4994602, AngleY, 2.290274, AngleZ, 90.01997
Time, 14.77003, Position, (21.04, 0.01, -0.08), Velocity, 5113.786, Acceleration, -34869.8, AngleX, -0.5059144, AngleY, 2.2905, AngleZ, 90.02023
Time, 14.87142, Position, (21.45, 0.01, -0.06), Velocity, 3959.392, Acceleration, -404908.3, AngleX, -0.5139899, AngleY, 2.290273, AngleZ, 90.02055
Time, 14.97315, Position, (21.86, 0.01, -0.05), Velocity, 4914.506, Acceleration, 93204.2, AngleX, -0.534006, AngleY, 2.290429, AngleZ, 90.02136
Time, 15.07385, Position, (22.26, 0.01, -0.03), Velocity, 4852.811, Acceleration, 274746.4, AngleX, -0.5601358, AngleY, 2.290504, AngleZ, 90.02241
Time, 15.17612, Position, (22.67, 0.01, -0.01), Velocity, 3587.76, Acceleration, -68195.39, AngleX, -0.5797809, AngleY, 2.290427, AngleZ, 90.02319
Time, 15.27835, Position, (23.07, 0.01, 0.00), Velocity, 4357.593, Acceleration, -129502.3, AngleX, -0.585585, AngleY, 2.290164, AngleZ, 90.02341
Time, 15.37859, Position, (23.48, 0.01, 0.02), Velocity, 4577.617, Acceleration, 76765.67, AngleX, -0.6101422, AngleY, 2.29018, AngleZ, 90.0244
Time, 15.48069, Position, (23.88, 0.01, 0.04), Velocity, 4168.8, Acceleration, 184409.9, AngleX, -0.6407719, AngleY, 2.290466, AngleZ, 90.02563
Time, 15.58218, Position, (24.29, 0.01, 0.05), Velocity, 4195.227, Acceleration, -56390.77, AngleX, -0.6491735, AngleY, 2.290495, AngleZ, 90.02596
Time, 15.68228, Position, (24.69, 0.01, 0.07), Velocity, 3670.751, Acceleration, -147869.6, AngleX, -0.680714, AngleY, 2.290243, AngleZ, 90.02723
Time, 15.78327, Position, (25.09, 0.01, 0.08), Velocity, 3557.974, Acceleration, -58015.2, AngleX, -0.7127662, AngleY, 2.290398, AngleZ, 90.02851
Time, 15.88535, Position, (25.50, 0.01, 0.10), Velocity, 2972.394, Acceleration, -203969.6, AngleX, -0.7180012, AngleY, 2.290401, AngleZ, 90.02872
Time, 15.98829, Position, (25.91, 0.01, 0.12), Velocity, 3047.401, Acceleration, 61856.6, AngleX, -0.7762846, AngleY, 2.290291, AngleZ, 90.03104
Time, 16.0903, Position, (26.32, 0.01, 0.13), Velocity, 3303.201, Acceleration, 63096.2, AngleX, -0.8016771, AngleY, 2.290451, AngleZ, 90.03207
Time, 16.19155, Position, (26.72, 0.01, 0.15), Velocity, 3316.596, Acceleration, 193694.1, AngleX, -0.8362263, AngleY, 2.29043, AngleZ, 90.03345
Time, 16.29246, Position, (27.13, 0.01, 0.17), Velocity, 2992.383, Acceleration, 82831.06, AngleX, -0.8637935, AngleY, 2.290279, AngleZ, 90.03455
Time, 16.39511, Position, (27.54, 0.01, 0.18), Velocity, 2824.827, Acceleration, 5956.019, AngleX, -0.9229078, AngleY, 2.290051, AngleZ, 90.03691
Time, 16.4977, Position, (27.95, 0.01, 0.20), Velocity, 2775, Acceleration, 55616, AngleX, -0.9650562, AngleY, 2.290322, AngleZ, 90.0386
Time, 16.59803, Position, (28.35, 0.01, 0.21), Velocity, 2627.881, Acceleration, -15133.18, AngleX, -1.014235, AngleY, 2.290087, AngleZ, 90.04057
