Time, 7.634014, Position, (-0.48, 0.01, -13.15), Velocity, 220.6516, Acceleration, -6209.237, AngleX, -1.077293, AngleY, 92.06348, AngleZ, -117.5606, AngularSpeed, 73.78562
Time, 7.736633, Position, (-0.47, 0.00, -12.62), Velocity, 43.39817, Acceleration, -2782.676, AngleX, -1.744486, AngleY, 102.2432, AngleZ, -97.98954, AngularSpeed, 45.35851
Time, 7.838789, Position, (-0.27, 0.01, -12.19), Velocity, 374.1286, Acceleration, 2841.24, AngleX, -0.9857109, AngleY, 41.72136, AngleZ, 90.87891, AngularSpeed, 1348.365
Time, 7.940929, Position, (0.13, 0.00, -11.71), Velocity, 163.0754, Acceleration, 2092.197, AngleX, -0.918373, AngleY, 29.92962, AngleZ, 90.52875, AngularSpeed, 690.5261
Time, 8.041312, Position, (0.56, 0.01, -11.43), Velocity, 4835.531, Acceleration, 286673.9, AngleX, -0.0443333, AngleY, 47.70894, AngleZ, 90.04874, AngularSpeed, 27630.57
Time, 8.142143, Position, (1.00, 0.02, -10.92), Velocity, 4802.008, Acceleration, -68923.74, AngleX, -0.108114, AngleY, 47.62923, AngleZ, 90.11852, AngularSpeed, 27923.18
Time, 8.243134, Position, (1.43, 0.00, -10.39), Velocity, 4471.33, Acceleration, -182736, AngleX, -0.02211417, AngleY, 47.48098, AngleZ, 90.02412, AngularSpeed, 26444.92
Time, 8.343621, Position, (1.93, 0.01, -9.85), Velocity, 4141.459, Acceleration, -176972.4, AngleX, -0.03315327, AngleY, 47.4897, AngleZ, 90.03617, AngularSpeed, 24853.38
Time, 8.446316, Position, (2.46, 0.00, -9.29), Velocity, 4377.171, Acceleration, 123110.5, AngleX, -0.03117223, AngleY, 47.53254, AngleZ, 90.03406, AngularSpeed, 26601.31
Time, 8.547081, Position, (3.01, 0.01, -8.70), Velocity, 4094.773, Acceleration, 165731.7, AngleX, -0.03748904, AngleY, 47.58329, AngleZ, 90.04103, AngularSpeed, 25117.62
Time, 8.64864, Position, (3.59, 0.01, -8.08), Velocity, 3710.451, Acceleration, -46787.33, AngleX, -0.04216351, AngleY, 47.63676, AngleZ, 90.04623, AngularSpeed, 22877.15
Time, 8.749969, Position, (4.18, 0.01, -7.44), Velocity, 3350.789, Acceleration, -15419.23, AngleX, -0.04826519, AngleY, 47.68122, AngleZ, 90.05301, AngularSpeed, 20662.23
Time, 8.853018, Position, (4.82, 0.01, -6.75), Velocity, 2690.806, Acceleration, -140031.2, AngleX, -0.08631993, AngleY, 47.71535, AngleZ, 90.09492, AngularSpeed, 16462.42
Time, 8.954386, Position, (5.47, 0.01, -6.04), Velocity, 2543.92, Acceleration, -55034.45, AngleX, -0.09595523, AngleY, 47.7439, AngleZ, 90.10562, AngularSpeed, 15317.66
