Time, 6.896356, Position, (7.23, 0.01, -4.05), Velocity, 8.238413, Acceleration, 1.723534, AngleX, -0.2210701, AngleY, 47.37642, AngleZ, 90.24021, AngularSpeed, 56.55791
Time, 6.99712, Position, (7.79, 0.01, -3.44), Velocity, 8.241709, Acceleration, 0.03270884, AngleX, 0.1991038, AngleY, 47.35813, AngleZ, 89.78379, AngularSpeed, 54.03494
Time, 7.09771, Position, (8.36, 0.01, -2.82), Velocity, 8.354477, Acceleration, 1.121076, AngleX, -0.01630511, AngleY, 47.38362, AngleZ, 90.01772, AngularSpeed, 51.44403
Time, 7.198616, Position, (8.93, 0.01, -2.20), Velocity, 8.433973, Acceleration, 0.7878232, AngleX, -0.1006114, AngleY, 47.36592, AngleZ, 90.10928, AngularSpeed, 48.05293
Time, 7.300343, Position, (9.58, 0.01, -1.50), Velocity, 9.351409, Acceleration, 9.018604, AngleX, 0.1256859, AngleY, 47.32265, AngleZ, 89.86369, AngularSpeed, 48.46171
Time, 7.403041, Position, (10.17, 0.01, -0.85), Velocity, 8.52727, Acceleration, -8.02485, AngleX, -0.05413243, AngleY, 47.36285, AngleZ, 90.05879, AngularSpeed, 39.83263
Time, 7.503765, Position, (10.85, 0.01, -0.37), Velocity, 8.231742, Acceleration, -2.934049, AngleX, 0.4757577, AngleY, 35.40413, AngleZ, 89.66184, AngularSpeed, 28.06153
Time, 7.60548, Position, (11.61, 0.02, -0.12), Velocity, 7.926539, Acceleration, -3.000563, AngleX, 1.589539, AngleY, 18.60453, AngleZ, 89.46481, AngularSpeed, 13.75133
Time, 7.707899, Position, (12.38, 0.03, 0.10), Velocity, 7.772342, Acceleration, -1.505559, AngleX, 1.852545, AngleY, 15.84126, AngleZ, 89.47417, AngularSpeed, 10.17502
Time, 7.808276, Position, (13.14, 0.03, 0.27), Velocity, 7.772779, Acceleration, 0.004356191, AngleX, 0.8261443, AngleY, 12.70896, AngleZ, 89.81367, AngularSpeed, 7.187434
Time, 7.909032, Position, (13.90, 0.03, 0.40), Velocity, 7.705605, Acceleration, -0.6666951, AngleX, -0.6329523, AngleY, 9.342055, AngleZ, 90.10413, AngularSpeed, 4.507237
Time, 8.00938, Position, (14.67, 0.03, 0.50), Velocity, 7.659583, Acceleration, -0.4586234, AngleX, 1.176222, AngleY, 7.380663, AngleZ, 89.84763, AngularSpeed, 2.996232
Time, 8.111116, Position, (15.44, 0.03, 0.56), Velocity, 7.634964, Acceleration, -0.2419946, AngleX, -4.151062, AngleY, 4.769921, AngleZ, 90.34698, AngularSpeed, 1.415601
Time, 8.211699, Position, (16.21, 0.02, 0.61), Velocity, 7.694773, Acceleration, 0.5946249, AngleX, -10.61296, AngleY, 3.955693, AngleZ, 90.74236, AngularSpeed, 0.9833833
Time, 8.312767, Position, (17.00, 0.01, 0.65), Velocity, 7.762429, Acceleration, 0.6694141, AngleX, -15.27951, AngleY, 2.460536, AngleZ, 90.67257, AngularSpeed, 0.2768095
Time, 8.415283, Position, (17.81, 0.01, 0.66), Velocity, 7.889135, Acceleration, 1.235962, AngleX, 12.55227, AngleY, 0.6338455, AngleZ, 89.85887, AngularSpeed, 0.6684608
Time, 8.516328, Position, (18.62, 0.01, 0.66), Velocity, 8.076146, Acceleration, 1.850778, AngleX, 6.198024, AngleY, 0.1731882, AngleZ, 89.98119, AngularSpeed, 0.8755468
Time, 8.617037, Position, (19.44, 0.01, 0.66), Velocity, 8.168295, Acceleration, 0.9150008, AngleX, -90.27128, AngleY, -0.0001536049, AngleZ, 90.03244, AngularSpeed, 0.8784653
Time, 8.719204, Position, (20.28, 0.01, 0.65), Velocity, 8.186067, Acceleration, 0.1739475, AngleX, 176.4021, AngleY, -0.3984195, AngleZ, 89.97495, AngularSpeed, 0.9681364
Time, 8.821709, Position, (21.21, 0.01, 0.65), Velocity, 9.08771, Acceleration, 8.796119, AngleX, 177.9928, AngleY, -0.4743145, AngleZ, 89.98338, AngularSpeed, 0.9840576
Time, 8.924619, Position, (22.06, 0.01, 0.64), Velocity, 8.26439, Acceleration, -8.000389, AngleX, 173.9159, AngleY, -0.5265335, AngleZ, 89.94388, AngularSpeed, 0.8596763
Time, 9.025816, Position, (22.92, 0.01, 0.63), Velocity, 8.468966, Acceleration, 2.021553, AngleX, -171.4388, AngleY, -0.5168924, AngleZ, 90.07782, AngularSpeed, 0.8059971
Time, 9.127885, Position, (23.78, 0.01, 0.62), Velocity, 8.471209, Acceleration, 0.02197576, AngleX, -178.1495, AngleY, -0.5512877, AngleZ, 90.01781, AngularSpeed, 0.7506369
Time, 9.229267, Position, (24.66, 0.01, 0.61), Velocity, 8.591171, Acceleration, 1.183271, AngleX, -178.2661, AngleY, -0.4765389, AngleZ, 90.01443, AngularSpeed, 0.6170434
Time, 9.332334, Position, (25.54, 0.01, 0.60), Velocity, 8.583979, Acceleration, -0.06978616, AngleX, 176.3282, AngleY, -0.6938095, AngleZ, 89.95547, AngularSpeed, 0.7433717
Time, 9.434102, Position, (26.43, 0.01, 0.59), Velocity, 8.719388, Acceleration, 1.330563, AngleX, -178.3659, AngleY, -0.6018752, AngleZ, 90.01717, AngularSpeed, 0.6733719
Time, 9.535126, Position, (27.32, 0.01, 0.59), Velocity, 8.794004, Acceleration, 0.7386034, AngleX, 175.2693, AngleY, -0.5530572, AngleZ, 89.95423, AngularSpeed, 0.6192337
Time, 9.636593, Position, (28.22, 0.01, 0.58), Velocity, 8.87612, Acceleration, 0.8092785, AngleX, -178.0278, AngleY, -0.5987749, AngleZ, 90.02062, AngularSpeed, 0.5848892
Time, 9.738619, Position, (29.13, 0.01, 0.57), Velocity, 8.916498, Acceleration, 0.3957675, AngleX, -177.7632, AngleY, -0.5790201, AngleZ, 90.02262, AngularSpeed, 0.5129983
Time, 9.839963, Position, (30.04, 0.01, 0.56), Velocity, 9.040995, Acceleration, 1.228453, AngleX, 170.2794, AngleY, -0.6171219, AngleZ, 89.89428, AngularSpeed, 0.5164499
Time, 9.94274, Position, (31.07, 0.01, 0.55), Velocity, 9.991561, Acceleration, 9.24878, AngleX, -166.2428, AngleY, -0.5600168, AngleZ, 90.13712, AngularSpeed, 0.5444083
Time, 10.04478, Position, (32.01, 0.01, 0.54), Velocity, 9.20104, Acceleration, -7.746853, AngleX, 152.2925, AngleY, -0.6156729, AngleZ, 89.67666, AngularSpeed, 0.4334857
Time, 10.14724, Position, (32.93, 0.01, 0.53), Velocity, 9.002192, Acceleration, -1.940747, AngleX, -156.2778, AngleY, -0.546409, AngleZ, 90.24012, AngularSpeed, 0.3861479
Time, 10.24951, Position, (33.89, 0.01, 0.52), Velocity, 9.382954, Acceleration, 3.723206, AngleX, -176.1971, AngleY, -0.4029093, AngleZ, 90.02679, AngularSpeed, 0.3868753
Time, 10.35161, Position, (34.85, 0.01, 0.51), Velocity, 9.42116, Acceleration, 0.3742224, AngleX, 173.1887, AngleY, -0.8044078, AngleZ, 89.90392, AngularSpeed, 0.4332711
Time, 10.45212, Position, (35.64, 0.01, 0.50), Velocity, 7.831968, Acceleration, -15.80999, AngleX, -165.0081, AngleY, -0.7571357, AngleZ, 90.20277, AngularSpeed, 0.3408737
Time, 10.55439, Position, (36.17, 0.01, 0.49), Velocity, 5.220026, Acceleration, -25.54202, AngleX, -172.9438, AngleY, -1.329225, AngleZ, 90.16457, AngularSpeed, 0.3350658
Time, 10.6559, Position, (36.75, 0.00, 0.48), Velocity, 5.662222, Acceleration, 4.355937, AngleX, -157.7888, AngleY, -0.4164439, AngleZ, 90.17005, AngularSpeed, 0
Time, 10.82379, Position, (37.77, 0.01, 0.47), Velocity, 6.118322, Acceleration, 2.716617, AngleX, 170.058, AngleY, -0.6073384, AngleZ, 89.89354, AngularSpeed, 0.2040831
